sample	single_records	single_PASS	single_PASS_found_in_joint	single_PASS_LOST	single_nonPASS	single_nonPASS_found_in_joint	joint_present(GT alt)	joint_only_presences	joint_only_with_evidence	joint_only_without_evidence	matched_PR_SR_alt_differs	max_breakpoint_shift_bp	shifts_outside_joint_CIPOS
MMV665852--R1a-2	14	14	7	7	0	0	24	17	17	0	4	0	0
MMV665852--R39b	17	14	8	6	3	3	10	1	1	0	8	180	0
MMV665882--16_R4a	15	11	7	4	4	2	14	8	8	0	4	173	1
MMV665909--8R4a	10	9	9	0	1	1	11	3	3	0	6	178	0
Meb--1Res2a	32	20	18	2	12	8	27	7	7	0	21	232	0
NITD609--652-2	8	7	7	0	1	0	12	5	5	0	6	0	0
NITD609--661-2	7	7	6	1	0	0	28	22	22	0	3	0	0
NITD609--R17	14	14	7	7	0	0	24	17	17	0	3	0	0
NODRUG-GM2	8	8	7	1	0	0	30	23	23	0	3	0	0
PMA1--D1	28	25	19	6	3	3	28	15	15	0	19	128	1
Stauro--2Res2a	28	22	13	9	6	3	15	5	5	0	13	232	0
Stauro--3Res2a	31	19	15	4	12	10	25	4	4	0	19	232	1
TCMDC124263--11-R3a	34	20	13	7	14	10	19	9	9	0	19	232	1
TCMDC124263--3-R3a	15	11	7	4	4	2	11	4	4	0	8	179	1
Tav--8Res2b	32	22	16	6	10	8	25	11	11	0	21	232	0
Tavabarole-9Res2c	39	28	22	6	11	9	17	1	1	0	27	232	1
Wortmannin-13R3a	17	14	14	0	3	3	15	7	7	0	12	250	1
Wortmannin-17-R3a	27	18	16	2	9	9	30	11	11	0	21	232	1
Z46108311--2R2c	14	9	9	0	5	4	12	3	3	0	11	198	0
